frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.217,336.6,320.0,0.15,0.05,0.001
1,-0.226,337.623,320.0,0.176,0.05,0.528
2,-0.244,338.467,320.0,0.319,0.05,1.237
3,-0.221,334.392,320.0,0.169,0.05,2.3
4,-0.124,324.921,320.0,0.019,0.05,3.139
5,0.0,317.708,320.0,-0.131,0.05,3.77
6,0.0,318.046,320.0,0.0,0.05,4.3
7,0.0,322.913,320.0,0.0,0.05,4.896
8,0.0,320.331,320.0,0.0,0.05,5.356
9,0.0,319.248,320.0,0.0,0.05,5.736
10,0.0,317.415,320.0,0.0,0.05,6.04
11,0.0,315.722,320.0,0.0,0.05,6.418
12,0.0,313.902,320.0,0.0,0.05,6.745
13,0.0,313.341,320.0,0.0,0.05,6.865
14,0.0,312.659,320.0,0.0,0.05,7.141
15,0.0,316.803,320.0,0.0,0.05,7.403
16,0.0,315.421,320.0,0.0,0.05,7.57
17,0.0,316.314,320.0,0.0,0.05,7.74
18,0.0,316.536,320.0,0.0,0.05,7.835
19,0.0,315.408,320.0,0.0,0.05,7.94
20,0.0,313.538,320.0,0.0,0.05,8.094
21,0.0,311.641,320.0,0.0,0.05,8.283
22,0.15,306.861,320.0,-0.15,0.05,8.349
23,0.146,309.399,320.0,0.0,0.05,8.252
24,0.0,318.858,320.0,0.15,0.05,8.458
25,0.0,318.213,320.0,0.0,0.05,8.751
26,0.131,306.4,320.0,-0.15,0.05,8.747
27,0.151,307.961,320.0,-0.3,0.05,8.565
28,0.0,321.352,320.0,-0.15,0.05,8.164
29,-0.271,352.5,320.0,0.0,0.05,8.042
30,-0.552,372.292,320.0,0.15,0.05,8.286
31,-0.648,372.475,320.0,0.3,0.05,8.581
32,-0.564,358.806,320.0,0.15,0.05,9.068
33,-0.275,328.883,320.0,0.0,0.05,9.375
34,0.0,311.633,320.0,-0.15,0.05,9.309
35,0.0,311.077,320.0,0.0,0.05,9.093
36,0.0,321.595,320.0,0.0,0.05,9.146
37,0.0,319.723,320.0,0.0,0.05,9.179
38,0.0,319.717,320.0,0.0,0.05,9.283
39,0.0,319.568,320.0,0.0,0.05,9.237
40,0.0,317.609,320.0,0.0,0.05,9.302
41,0.0,315.548,320.0,0.0,0.05,9.326
42,0.0,315.787,320.0,0.0,0.05,9.373
43,0.0,314.584,320.0,0.0,0.05,9.456
44,0.0,314.108,320.0,0.0,0.05,9.435
45,0.0,313.79,320.0,0.0,0.05,9.475
46,0.0,312.297,320.0,0.0,0.05,9.564
47,0.119,310.369,320.0,-0.15,0.05,9.554
48,0.101,313.204,320.0,0.0,0.05,9.25
49,0.0,325.206,320.0,0.15,0.05,9.332
50,0.0,322.154,320.0,0.0,0.05,9.606
51,0.248,291.213,320.0,-0.15,0.05,9.86
52,0.346,290.872,320.0,-0.3,0.05,9.552
53,0.229,307.944,320.0,-0.15,0.05,9.14
54,0.0,338.591,320.0,0.0,0.05,8.8
55,-0.193,338.591,320.0,0.15,0.05,8.91
56,-0.231,338.591,320.0,0.3,0.05,9.309
57,-0.297,344.505,320.0,0.45,0.05,9.72
58,0.0,306.627,320.0,0.3,0.05,10.431
59,0.492,251.972,320.0,0.15,0.05,10.903
60,0.66,203.552,320.0,-0.0,0.05,10.992
61,0.718,163.955,320.0,-0.15,0.05,10.946
62,0.739,155.745,320.0,-0.3,0.05,10.861
63,0.746,165.993,320.0,-0.219,0.05,10.34
64,0.749,193.749,320.0,-0.145,0.05,9.877
65,0.75,219.033,320.0,-0.119,0.05,9.764
66,0.75,238.079,320.0,-0.11,0.05,9.646
67,0.75,253.968,320.0,-0.107,0.05,9.432
68,0.701,270.76,320.0,0.043,0.05,9.337
