epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.335,1.70877,2.17823,1.2389,0.38579,0.23479,0.19823,0.0966,1.58495,2.39045,1.14218,0.000202703,0.000202703,0.000202703
2,461.269,1.63464,1.27906,1.22306,0.17441,0.15188,0.11327,0.04845,1.8167,1.92396,1.23798,0.000409921,0.000409921,0.000409921
3,648.149,1.65071,1.2419,1.23514,0.26699,0.12111,0.08768,0.03756,1.96405,2.27529,1.36825,0.00061267,0.00061267,0.00061267
4,837.204,1.69154,1.24851,1.25652,0.32054,0.15308,0.06251,0.02744,1.82156,2.48239,1.31587,0.000609858,0.000609858,0.000609858
5,1025.89,1.68555,1.23508,1.2582,0.31371,0.20244,0.14384,0.05943,1.98008,1.91346,1.44064,0.000598253,0.000598253,0.000598253
6,1211.36,1.63792,1.17193,1.22858,0.46912,0.21623,0.18183,0.0794,1.82577,1.34428,1.28169,0.000583552,0.000583552,0.000583552
7,1396.4,1.6214,1.14666,1.21863,0.30053,0.22576,0.19451,0.08746,1.71382,1.2383,1.23556,0.000565915,0.000565915,0.000565915
8,1581.65,1.60733,1.12898,1.20508,0.32237,0.23609,0.20395,0.09578,1.62202,1.16616,1.1918,0.000545535,0.000545535,0.000545535
9,1766.49,1.58067,1.0792,1.19402,0.38608,0.24243,0.21619,0.10028,1.6296,1.12572,1.17689,0.000522637,0.000522637,0.000522637
10,1952.01,1.55731,1.05257,1.18049,0.4138,0.25567,0.22967,0.10506,1.63101,1.10162,1.18307,0.000497471,0.000497471,0.000497471
11,2137.56,1.54101,1.02455,1.16446,0.37692,0.26386,0.24397,0.11917,1.5151,1.1158,1.13185,0.000470313,0.000470313,0.000470313
12,2322.68,1.52288,1.00056,1.16214,0.36642,0.28284,0.25316,0.12365,1.53246,0.99757,1.14177,0.000441459,0.000441459,0.000441459
13,2507.3,1.49051,0.97135,1.15202,0.38342,0.2915,0.26628,0.13173,1.51111,0.96826,1.12256,0.000411227,0.000411227,0.000411227
14,2693.5,1.48202,0.95069,1.14181,0.38757,0.28421,0.26169,0.12931,1.48663,0.97824,1.11454,0.000379948,0.000379948,0.000379948
15,2880.16,1.45933,0.93284,1.13118,0.47297,0.29472,0.27255,0.13283,1.52162,0.97145,1.12148,0.000347963,0.000347963,0.000347963
16,3064,1.44195,0.90744,1.11849,0.49629,0.30891,0.29352,0.1466,1.45933,0.91422,1.09676,0.000315625,0.000315625,0.000315625
17,3249.54,1.40196,0.87708,1.09625,0.50777,0.31343,0.29918,0.14978,1.46894,0.92197,1.09908,0.000283287,0.000283287,0.000283287
18,3434.85,1.39209,0.86257,1.09504,0.51504,0.3201,0.30076,0.14847,1.44112,0.90401,1.08869,0.000251302,0.000251302,0.000251302
19,3620.14,1.37603,0.83955,1.08354,0.51584,0.33631,0.31721,0.15836,1.44874,0.88889,1.09715,0.000220023,0.000220023,0.000220023
20,3806.96,1.35408,0.81837,1.07607,0.51544,0.33463,0.31083,0.15668,1.40281,0.89072,1.07621,0.000189791,0.000189791,0.000189791
21,3994.3,1.34976,0.79984,1.0748,0.5537,0.34201,0.33298,0.16771,1.43496,0.85869,1.09133,0.000160938,0.000160938,0.000160938
22,4179.41,1.32115,0.77815,1.05983,0.55918,0.34233,0.33671,0.17026,1.42212,0.84956,1.08199,0.000133779,0.000133779,0.000133779
23,4362.94,1.30918,0.75724,1.05969,0.54903,0.34916,0.34121,0.17401,1.40917,0.83663,1.07653,0.000108613,0.000108613,0.000108613
24,4546.25,1.30472,0.74826,1.05608,0.57517,0.34758,0.35011,0.17907,1.39004,0.82489,1.06883,8.57146e-05,8.57146e-05,8.57146e-05
25,4728.52,1.27559,0.72317,1.04367,0.56637,0.35678,0.35368,0.18064,1.36577,0.81601,1.06304,6.53354e-05,6.53354e-05,6.53354e-05
26,4910.27,1.26498,0.71143,1.03566,0.57045,0.35623,0.35537,0.183,1.36893,0.81173,1.06531,4.76984e-05,4.76984e-05,4.76984e-05
27,5091.72,1.24997,0.70427,1.03057,0.56494,0.36629,0.36061,0.1852,1.3597,0.80447,1.06189,3.29969e-05,3.29969e-05,3.29969e-05
28,5273.87,1.24956,0.69897,1.03026,0.56883,0.36477,0.36244,0.18615,1.36368,0.80117,1.06207,2.13919e-05,2.13919e-05,2.13919e-05
29,5457.4,1.25747,0.70147,1.03185,0.57982,0.35959,0.36317,0.18643,1.36899,0.80236,1.06373,1.30106e-05,1.30106e-05,1.30106e-05
30,5640.64,1.25013,0.69322,1.03172,0.57878,0.3597,0.36388,0.18696,1.36897,0.80106,1.06406,7.94479e-06,7.94479e-06,7.94479e-06
