epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.548,1.35444,8.80528,0.93414,0.58612,0.00768,0.00878,0.0064,1.25976,4.14167,0.84991,8.3212e-06,8.3212e-06,8.3212e-06
2,1365.86,1.19439,5.9002,0.87197,0.62385,0.02395,0.02658,0.01846,1.27756,3.41833,0.86498,1.66094e-05,1.66094e-05,1.66094e-05
3,1849.67,1.1621,4.57567,0.86974,0.64886,0.04045,0.04602,0.03335,1.21053,3.06187,0.85889,2.47176e-05,2.47176e-05,2.47176e-05
4,2330.06,1.1116,3.82638,0.86295,0.58308,0.05727,0.06235,0.04792,1.04541,2.83835,0.82881,2.43943e-05,2.43943e-05,2.43943e-05
5,2812.73,1.05408,3.27583,0.85007,0.63554,0.07314,0.07861,0.06044,1.01522,2.63612,0.8282,2.39301e-05,2.39301e-05,2.39301e-05
6,3294.86,1.04502,2.9304,0.85481,0.61603,0.08939,0.092,0.07152,1.01648,2.48811,0.82509,2.33421e-05,2.33421e-05,2.33421e-05
7,3777.4,1.02128,2.69152,0.84622,0.55359,0.11271,0.10895,0.08487,0.99456,2.34577,0.82776,2.26366e-05,2.26366e-05,2.26366e-05
8,4256.86,1.0074,2.49999,0.84506,0.57585,0.10883,0.11406,0.08898,0.96537,2.32294,0.82151,2.18214e-05,2.18214e-05,2.18214e-05
9,4737.51,0.98754,2.31737,0.84163,0.51934,0.12764,0.12601,0.09996,0.95463,2.23853,0.8178,2.09055e-05,2.09055e-05,2.09055e-05
10,5220.19,0.97093,2.1758,0.84199,0.48781,0.13045,0.13703,0.10857,0.93865,2.19325,0.81516,1.98988e-05,1.98988e-05,1.98988e-05
11,5701.86,0.95744,2.07084,0.84028,0.47884,0.1416,0.14177,0.10891,0.99274,2.15567,0.82236,1.88125e-05,1.88125e-05,1.88125e-05
12,6183.44,0.94335,1.96144,0.83319,0.461,0.1543,0.15385,0.12311,0.9318,2.097,0.81676,1.76584e-05,1.76584e-05,1.76584e-05
13,6664.55,0.9446,1.87945,0.83829,0.46063,0.1597,0.16414,0.12931,0.94332,2.08582,0.81674,1.64491e-05,1.64491e-05,1.64491e-05
14,7146.79,0.91448,1.7631,0.83221,0.43881,0.16849,0.17371,0.13825,0.92787,2.02347,0.81522,1.51979e-05,1.51979e-05,1.51979e-05
15,7628.82,0.91153,1.69403,0.83151,0.47488,0.16674,0.17968,0.14418,0.91502,2.02585,0.81122,1.39185e-05,1.39185e-05,1.39185e-05
16,8110.83,0.90843,1.6258,0.83187,0.39134,0.18923,0.17733,0.13929,0.95965,2.01185,0.81833,1.2625e-05,1.2625e-05,1.2625e-05
17,8591.28,0.88872,1.55764,0.82591,0.41481,0.1872,0.1836,0.14605,0.92303,2.02117,0.81528,1.13315e-05,1.13315e-05,1.13315e-05
18,9073.46,0.88806,1.50823,0.83299,0.41664,0.1874,0.18088,0.14337,0.90897,1.967,0.81193,1.00521e-05,1.00521e-05,1.00521e-05
19,9554.08,0.86874,1.43773,0.82421,0.40105,0.20123,0.19074,0.15064,0.93606,1.97691,0.81796,8.80091e-06,8.80091e-06,8.80091e-06
20,10035.7,0.87088,1.41265,0.82329,0.41712,0.20014,0.19308,0.15357,0.91231,1.95143,0.81314,7.59163e-06,7.59163e-06,7.59163e-06
21,10524.5,0.86138,1.35263,0.82245,0.39303,0.19993,0.19376,0.15392,0.92182,1.95618,0.81164,6.4375e-06,6.4375e-06,6.4375e-06
22,11008.2,0.84935,1.31439,0.82103,0.38106,0.21402,0.19598,0.15602,0.90312,1.94252,0.81194,5.35116e-06,5.35116e-06,5.35116e-06
23,11490.1,0.83996,1.27686,0.82111,0.38499,0.21236,0.1984,0.1569,0.91224,1.97019,0.81113,4.34451e-06,4.34451e-06,4.34451e-06
24,11972.6,0.82281,1.22903,0.81851,0.41644,0.19494,0.19741,0.15829,0.89844,1.94084,0.8076,3.42858e-06,3.42858e-06,3.42858e-06
25,12455.8,0.82875,1.21102,0.81928,0.37012,0.2041,0.20051,0.16042,0.89405,1.94598,0.80844,2.61341e-06,2.61341e-06,2.61341e-06
26,12937.3,0.81542,1.19217,0.81937,0.42753,0.19153,0.20054,0.16134,0.89014,1.93613,0.80731,1.90794e-06,1.90794e-06,1.90794e-06
27,13420.4,0.82024,1.1811,0.81727,0.42648,0.1901,0.20002,0.15988,0.891,1.95063,0.80781,1.31987e-06,1.31987e-06,1.31987e-06
28,13902.4,0.80696,1.15807,0.81779,0.41279,0.19312,0.20005,0.15905,0.89257,1.94531,0.80731,8.55676e-07,8.55676e-07,8.55676e-07
29,14385.7,0.81159,1.16382,0.81638,0.41896,0.19294,0.20172,0.16128,0.89119,1.95356,0.80764,5.20423e-07,5.20423e-07,5.20423e-07
30,14868.7,0.81077,1.15301,0.81433,0.43611,0.18951,0.20093,0.16091,0.89269,1.95015,0.8075,3.17792e-07,3.17792e-07,3.17792e-07
